id_student;date;studied_credits;final_result;gender_F;highest_education_A Level or Equivalent;highest_education_HE Qualification;highest_education_Lower Than A Level;highest_education_No Formal quals;highest_education_Post Graduate Qualification;age_band_0-35;age_band_35-55;age_band_55<=;disability_N
11391;269;240;0;0;0;1;0;0;0;0;0;1;1
28400;269;60;0;1;0;1;0;0;0;0;1;0;1
30268;12;60;1;1;1;0;0;0;0;0;1;0;0
31604;269;60;0;1;1;0;0;0;0;0;1;0;1
32885;269;60;0;1;0;0;1;0;0;1;0;0;1
38053;269;60;0;0;1;0;0;0;0;0;1;0;1
45462;269;60;0;0;0;1;0;0;0;1;0;0;1
45642;269;120;0;1;1;0;0;0;0;1;0;0;1
52130;269;90;0;1;1;0;0;0;0;1;0;0;1
53025;269;60;0;0;0;0;0;0;1;0;0;1;1
57506;269;60;0;0;0;0;1;0;0;0;1;0;1
58873;269;60;0;1;1;0;0;0;0;1;0;0;1
59185;269;60;0;0;0;0;1;0;0;0;1;0;1
62155;269;60;0;1;0;1;0;0;0;1;0;0;1
63400;269;60;0;0;0;0;1;0;0;0;1;0;1
65002;96;60;1;1;1;0;0;0;0;1;0;0;1
70464;269;60;0;1;1;0;0;0;0;0;1;0;1
71361;269;60;0;0;0;1;0;0;0;0;1;0;1
74372;269;150;0;0;1;0;0;0;0;0;1;0;1
75091;269;60;0;0;1;0;0;0;0;0;1;0;1
77367;269;60;0;0;1;0;0;0;0;1;0;0;1
91265;269;60;0;0;0;1;0;0;0;1;0;0;1
94961;55;60;1;0;0;0;1;0;0;0;1;0;1
98094;269;60;0;0;0;0;1;0;0;0;1;0;1
100893;269;60;0;0;1;0;0;0;0;1;0;0;1
101781;269;60;0;0;0;0;1;0;0;0;1;0;1
102806;269;60;0;0;1;0;0;0;0;1;0;0;1
102952;269;60;0;0;0;1;0;0;0;1;0;0;1
104476;269;60;0;0;0;0;0;0;1;0;1;0;1
106247;150;60;1;0;0;1;0;0;0;0;1;0;1
106577;269;60;0;0;0;0;1;0;0;1;0;0;1
110175;269;60;0;0;0;1;0;0;0;0;1;0;1
111717;269;60;0;1;0;1;0;0;0;0;1;0;1
113295;269;60;0;0;0;0;1;0;0;0;1;0;1
114017;269;60;0;1;0;0;0;0;1;0;1;0;1
114999;269;60;0;0;0;1;0;0;0;0;1;0;1
116541;269;60;0;0;0;1;0;0;0;1;0;0;1
116692;269;60;0;0;1;0;0;0;0;0;1;0;1
118983;269;120;0;0;0;1;0;0;0;1;0;0;1
123044;269;60;0;0;1;0;0;0;0;0;1;0;1
127582;269;180;0;1;1;0;0;0;0;1;0;0;1
129955;135;60;1;0;1;0;0;0;0;1;0;0;1
132976;269;120;0;1;0;0;1;0;0;0;1;0;1
134143;269;60;0;1;1;0;0;0;0;0;1;0;1
135335;24;180;1;1;0;0;1;0;0;1;0;0;1
135400;97;60;1;1;0;0;1;0;0;0;1;0;0
137873;269;60;0;0;1;0;0;0;0;0;1;0;1
141355;269;240;0;1;1;0;0;0;0;1;0;0;1
141377;109;345;1;0;1;0;0;0;0;1;0;0;1
142326;269;60;0;1;1;0;0;0;0;0;1;0;1
144801;269;60;0;1;0;1;0;0;0;0;1;0;1
145130;269;120;0;0;0;1;0;0;0;1;0;0;1
146188;269;60;0;1;1;0;0;0;0;1;0;0;0
147756;269;120;0;0;0;0;1;0;0;1;0;0;1
147793;59;90;1;1;0;0;1;0;0;1;0;0;1
148993;157;60;1;1;1;0;0;0;0;0;1;0;0
